国家,品类,指标,日期,数值,单位,频率,来源,范围,说明
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2024-12-01,32.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-01-01,38.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-02-01,21.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-03-01,41.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-04-01,24.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-05-01,90.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-06-01,19.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-07-01,51.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-08-01,41.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-09-01,25.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-10-01,15.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-11-01,16.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2025-12-01,32.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-01-01,12.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-02-01,25.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-03-01,14.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-04-01,23.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-05-01,20.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-06-01,6.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,其他,MLA NLRS Slaughter Deer 全国月度汇总,2026-07-01,28.0,头,月度,MLA Statistics API / NLRS,澳洲,MLA Statistics API report/10 NLRS Slaughter；州级周度屠宰数默认汇总为全国月度。
au,牛,EYCI月均(c/kg cwt),2000-01-01,249.1297696535449,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-02-01,248.42278020199072,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-03-01,253.97672791847125,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-04-01,261.54986506206467,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-05-01,260.34111320985187,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-06-01,258.07050563650597,,月度,,澳洲,
au,牛,EYCI月均(c/kg cwt),2000-07-01,267.0738268366164,,月度,,澳洲,
